Year,State,Garage,Garage and Parking Lot,Parking Lot
Manhattan/2006_02,cd101,9663,0,2985
Manhattan/2012_02,cd101,11379,0,2194
Manhattan/2022_02,cd101,9446,536,1214
Manhattan/2006_02,cd102,8159,3941,2828
Manhattan/2012_02,cd102,7743,3626,1809
Manhattan/2022_02,cd102,9137,519,1366
Manhattan/2006_02,cd103,2100,158,1135
Manhattan/2012_02,cd103,2329,48,968
Manhattan/2022_02,cd103,2933,48,437
Manhattan/2006_02,cd104,14565,1564,9341
Manhattan/2012_02,cd104,15831,375,5468
Manhattan/2022_02,cd104,14870,676,2005
Manhattan/2006_02,cd105,22647,36,4370
Manhattan/2012_02,cd105,22270,66,3378
Manhattan/2022_02,cd105,17102,1262,1351
Manhattan/2006_02,cd106,22252,405,825
Manhattan/2012_02,cd106,22519,379,1094
Manhattan/2022_02,cd106,20404,632,616
Manhattan/2006_02,cd107,16163,0,953
Manhattan/2012_02,cd107,15963,0,1094
Manhattan/2022_02,cd107,13327,739,590
Manhattan/2006_02,cd108,26195,580,919
Manhattan/2012_02,cd108,25385,817,1241
Manhattan/2022_02,cd108,20619,1985,633
Manhattan/2006_02,cd109,2746,0,255
Manhattan/2012_02,cd109,2207,0,315
Manhattan/2022_02,cd109,2024,0,273
Manhattan/2006_02,cd110,2123,0,513
Manhattan/2012_02,cd110,2682,0,602
Manhattan/2022_02,cd110,2373,135,163
Manhattan/2006_02,cd111,2427,204,1985
Manhattan/2012_02,cd111,3647,404,1301
Manhattan/2022_02,cd111,4616,777,375
Manhattan/2006_02,cd112,5716,430,1548
Manhattan/2012_02,cd112,5615,30,1286
Manhattan/2022_02,cd112,4398,636,1099
Bronx/2006_02,cd201,1326,90,945
Bronx/2012_02,cd201,1567,0,1214
Bronx/2022_02,cd201,2076,156,350
Bronx/2006_02,cd202,0,0,416
Bronx/2012_02,cd202,399,0,586
Bronx/2022_02,cd202,725,52,232
Bronx/2006_02,cd203,496,0,1280
Bronx/2012_02,cd203,171,0,1661
Bronx/2022_02,cd203,985,111,432
Bronx/2006_02,cd204,6499,302,4145
Bronx/2012_02,cd204,7255,303,3092
Bronx/2022_02,cd204,12710,334,912
Bronx/2006_02,cd205,2169,25,1595
Bronx/2012_02,cd205,2078,33,1375
Bronx/2022_02,cd205,1935,200,643
Bronx/2006_02,cd206,917,0,1495
Bronx/2012_02,cd206,1191,0,982
Bronx/2022_02,cd206,1259,143,445
Bronx/2006_02,cd207,2920,0,1148
Bronx/2012_02,cd207,2420,120,1140
Bronx/2022_02,cd207,3123,120,1570
Bronx/2006_02,cd208,1310,36,822
Bronx/2012_02,cd208,1819,36,925
Bronx/2022_02,cd208,1353,36,585
Bronx/2022_02,cd208,0,0,49
Bronx/2006_02,cd209,968,0,1618
Bronx/2012_02,cd209,996,0,1546
Bronx/2022_02,cd209,1817,515,300
Bronx/2006_02,cd210,10938,0,349
Bronx/2012_02,cd210,10938,0,384
Bronx/2022_02,cd210,10788,0,131
Bronx/2006_02,cd211,445,100,774
Bronx/2012_02,cd211,881,99,598
Bronx/2022_02,cd211,2912,32,434
Bronx/2006_02,cd212,704,0,166
Bronx/2012_02,cd212,624,0,141
Bronx/2022_02,cd212,724,0,125
Brooklyn/2006_02,cd301,74,0,266
Brooklyn/2012_02,cd301,730,25,197
Brooklyn/2022_02,cd301,4613,465,206
Brooklyn/2006_02,cd302,9473,183,3967
Brooklyn/2012_02,cd302,9508,100,2829
Brooklyn/2022_02,cd302,8134,1665,1140
Brooklyn/2006_02,cd303,594,0,109
Brooklyn/2012_02,cd303,1141,0,181
Brooklyn/2022_02,cd303,1072,0,133
Brooklyn/2006_02,cd304,0,0,559
Brooklyn/2012_02,cd304,0,0,204
Brooklyn/2022_02,cd304,0,65,318
Brooklyn/2006_02,cd305,0,0,210
Brooklyn/2012_02,cd305,242,0,210
Brooklyn/2022_02,cd305,68,0,0
Brooklyn/2006_02,cd306,1839,0,490
Brooklyn/2012_02,cd306,1592,0,165
Brooklyn/2022_02,cd306,1610,0,168
Brooklyn/2006_02,cd307,0,0,533
Brooklyn/2012_02,cd307,175,0,50
Brooklyn/2022_02,cd307,176,134,50
Brooklyn/2006_02,cd308,1326,160,235
Brooklyn/2012_02,cd308,1188,160,150
Brooklyn/2022_02,cd308,1310,303,160
Brooklyn/2006_02,cd309,209,0,178
Brooklyn/2012_02,cd309,0,0,20
Brooklyn/2022_02,cd309,209,0,0
Brooklyn/2006_02,cd310,178,0,117
Brooklyn/2012_02,cd310,457,0,190
Brooklyn/2022_02,cd310,457,100,115
Brooklyn/2006_02,cd311,0,0,88
Brooklyn/2012_02,cd311,0,0,88
Brooklyn/2022_02,cd311,0,0,50
Brooklyn/2006_02,cd312,100,0,55
Brooklyn/2012_02,cd312,41,0,55
Brooklyn/2022_02,cd312,41,0,107
Brooklyn/2006_02,cd313,524,0,1631
Brooklyn/2012_02,cd313,524,0,1638
Brooklyn/2022_02,cd313,651,0,1125
Brooklyn/2006_02,cd314,72,100,435
Brooklyn/2012_02,cd314,550,0,340
Brooklyn/2022_02,cd314,0,0,25
Brooklyn/2006_02,cd315,369,0,1328
Brooklyn/2012_02,cd315,551,0,0
Brooklyn/2022_02,cd315,508,0,0
Brooklyn/2006_02,cd316,950,0,303
Brooklyn/2012_02,cd316,950,0,93
Brooklyn/2022_02,cd316,950,0,93
Brooklyn/2006_02,cd317,216,50,20
Brooklyn/2012_02,cd317,16,195,1
Brooklyn/2022_02,cd317,216,243,0
Brooklyn/2006_02,cd318,3739,0,474
Brooklyn/2012_02,cd318,3739,0,0
Brooklyn/2022_02,cd318,0,0,3739
Queens/2006_02,cd401,130,125,963
Queens/2012_02,cd401,228,125,1022
Queens/2022_02,cd401,1341,235,823
Queens/2006_02,cd402,1246,121,2138
Queens/2012_02,cd402,1866,0,1569
Queens/2022_02,cd402,4115,672,1017
Queens/2006_02,cd403,750,259,1105
Queens/2012_02,cd403,549,259,1462
Queens/2022_02,cd403,296,290,904
Queens/2006_02,cd404,2724,0,1160
Queens/2012_02,cd404,1931,0,318
Queens/2022_02,cd404,3800,402,16
Queens/2006_02,cd405,0,0,298
Queens/2012_02,cd405,1289,660,298
Queens/2022_02,cd405,723,660,217
Queens/2006_02,cd406,4172,708,2914
Queens/2012_02,cd406,5112,708,150
Queens/2022_02,cd406,4959,920,0
Queens/2006_02,cd407,2274,900,1169
Queens/2012_02,cd407,2959,1098,8356
Queens/2022_02,cd407,15775,1490,1284
Queens/2006_02,cd408,651,0,109
Queens/2012_02,cd408,128,0,263
Queens/2022_02,cd408,348,204,339
Queens/2006_02,cd409,2174,0,5
Queens/2012_02,cd409,2049,0,0
Queens/2022_02,cd409,1966,0,0
Queens/2006_02,cd410,0,0,15169
Queens/2012_02,cd410,225,225,725
Queens/2022_02,cd410,0,0,609
Queens/2006_02,cd411,0,0,352
Queens/2012_02,cd411,0,0,394
Queens/2006_02,cd412,2002,0,1593
Queens/2012_02,cd412,2166,100,2364
Queens/2022_02,cd412,3800,346,1252
Queens/2006_02,cd413,150,0,1243
Queens/2012_02,cd413,1071,0,730
Queens/2022_02,cd413,921,0,910
Queens/2006_02,cd414,49,0,60
Queens/2012_02,cd414,0,0,240
Queens/2022_02,cd414,0,0,80
Staten Island/2006_02,cd501,198,227,1347
Staten Island/2012_02,cd501,198,0,1468
Staten Island/2022_02,cd501,563,0,171