Date,Subway_2020,Bus_2020,Bus_2019,Subway_2019
2020-03-01,2214601,984900,975148,2243770
2020-03-02,5347055,2209100,1577928,4315621
2020-03-03,5498556,2228600,2297525,5721702
2020-03-04,5515945,2177200,2244536,5698290
2020-03-05,5513656,2244500,2267171,5767422
2020-03-06,5204732,2066700,2222258,5682021
2020-03-07,2817082,1249100,1372637,3116241
2020-03-08,2122328,957200,894579,2113872
2020-03-09,4989635,2124800,2284731,5568789
2020-03-10,4883623,2112000,2320879,5752206
2020-03-11,4712462,2113000,2347777,5782161
2020-03-12,4163674,1938400,2363902,5815187
2020-03-13,3496765,1715700,2228181,5639943
2020-03-14,1672800,993300,1360684,3186285
2020-03-15,1159079,711600,1031304,2435039
2020-03-16,2184296,1237300,2249636,5393323
2020-03-17,1793359,1094900,2329574,5639493
2020-03-18,1629413,1059500,2354444,5697248
2020-03-19,1425564,933600,2171162,5568609
2020-03-20,1312249,868600,2118536,5490581
2020-03-21,620662,564900,1313720,3027619
2020-03-22,409364,378900,1082571,2422272
2020-03-23,711138,578200,2223846,5428534
2020-03-24,743314,657800,2349285,5674152
2020-03-25,691604,618000,2288888,5715735
2020-03-26,681923,646100,2307500,5779008
2020-03-27,658312,641800,2213103,5578915
2020-03-28,332993,403700,1392068,3264637
2020-03-29,264119,306800,989677,2257427
2020-03-30,546355,563900,2255600,5575051
2020-03-31,509149,514300,2337727,5785784
2020-04-01,514201,495400,2359047,5910356
2020-04-02,486468,472700,2363500,5932536
2020-04-03,484200,483800,2199090,5696470
2020-04-04,282703,383400,1420000,3287244
2020-04-05,227603,299600,998666,2501131
2020-04-06,446273,454900,2274500,5578412
2020-04-07,435718,441000,2321052,5733131
2020-04-08,428206,431700,2398333,5865835
2020-04-09,405325,401900,2364117,5790357
2020-04-10,400947,414100,2179473,5727814
2020-04-11,257467,378200,1400740,3300858
2020-04-12,198693,279100,996785,2483662
2020-04-13,363961,347800,2173750,5599400
2020-04-14,430946,470900,2354500,5903369
2020-04-15,419851,454100,2390000,5997871
2020-04-16,421013,447000,2235000,5929760
2020-04-17,433106,470300,1741851,4759406
2020-04-18,254792,352000,1213793,2831022
2020-04-19,224751,318100,994062,2341156
2020-04-20,438622,498700,1847037,4928337
2020-04-21,422860,450900,2049545,5421282
2020-04-22,459574,518900,1995769,5406752
2020-04-23,454300,487300,1949200,5473493
2020-04-24,444644,475400,1760740,5052772
2020-04-25,295836,430800,1346250,3250945
2020-04-26,219096,293500,978333,2407648
2020-04-27,463700,518400,2253913,5586746
2020-04-28,490073,555600,2315000,5765564
2020-04-29,478589,519600,2361818,5836451
2020-04-30,466633,488800,2327619,5906746
2020-05-01,495312,555300,2221200,5759441
2020-05-02,326354,478600,1407647,3231227
2020-05-03,259199,375900,835333,2335126
2020-05-04,512763,578300,2313200,5634758
2020-05-05,522979,583400,2333600,5810877
2020-05-06,509646,538800,2449090,5858000
2020-05-07,536003,605600,2329230,5890142
2020-05-08,526865,573700,2294800,5665215
2020-05-09,317372,462400,1445000,3205777
2020-05-10,272353,386000,839130,2079030
2020-05-11,521702,553300,2128076,5434395
2020-05-12,554286,594900,2288076,5773812
2020-05-13,566333,611300,2351153,5899302
2020-05-14,568315,616000,2369230,5919947
2020-05-15,588784,671500,2238333,5716349
2020-05-16,361329,530600,1434054,3408764
2020-05-17,287755,413500,1117567,2615954
2020-05-18,596505,624200,2229285,5574813
2020-05-19,611951,643600,2298571,5884144
2020-05-20,624793,654800,2338571,5894273
2020-05-21,630367,655300,2184333,5678981
2020-05-22,634929,690200,2226451,5426743
2020-05-23,336250,460700,1316285,3002232
2020-05-24,320376,461200,1072558,2542666
2020-05-25,394359,531600,1155652,2611649
2020-05-26,657939,709000,2148484,5437512
2020-05-27,675705,719200,2179393,5678193
2020-05-28,659248,710800,2221250,5732591
2020-05-29,658353,720800,2184242,5775026
2020-05-30,426755,622000,1413636,3161148
2020-05-31,344428,468300,1089069,2532558
2020-06-01,688520,764300,2247941,5552580
2020-06-02,695276,724400,2130588,5518063
2020-06-03,683037,741200,2316250,5739806
2020-06-04,728018,797700,2155945,5732425
2020-06-05,704825,772900,2208285,5684072
2020-06-06,464207,648000,1408695,3269063
2020-06-07,378085,531900,1085510,2589623
2020-06-08,806138,863400,2055714,5268875
2020-06-09,843968,916900,2236341,5741278
2020-06-10,858782,914700,2345384,5882068
2020-06-11,819873,830100,2184473,5693562
2020-06-12,898314,966300,2247209,5721745
2020-06-13,545333,706800,1413600,3207841
2020-06-14,430446,571200,1038545,2326735
2020-06-15,898925,940900,2188139,5448030
2020-06-16,934545,961000,2089130,5596077
2020-06-17,950318,977200,2171555,5724807
2020-06-18,944318,977700,2036875,5688662
2020-06-19,988680,1035300,1882363,5554382
2020-06-20,576097,768500,1397272,3310902
2020-06-21,449497,592400,1117735,2628637
2020-06-22,1002073,1016200,2117083,5416610
2020-06-23,1053005,1086200,2088846,5542131
2020-06-24,1070527,1099900,2244693,5786632
2020-06-25,1081006,1088500,2093269,5659717
2020-06-26,1104497,1130100,1982631,5467806
2020-06-27,616084,753900,1322631,3192145
2020-06-28,536488,641800,1106551,3031005
2020-06-29,1103086,1087500,2051886,5203235
2020-06-30,1115510,1082000,2080769,5337368
2020-07-01,1122842,1102200,2079622,5222520
2020-07-02,1172248,1178500,1122380,2719832
2020-07-03,847811,968200,1760363,3906963
2020-07-04,592295,754900,1279491,2597785
2020-07-05,534220,658700,1097833,2312640
2020-07-06,1087178,1030200,2060400,5128198
2020-07-07,1159588,1118800,2151538,5469754
2020-07-08,1174733,1114900,2186078,5567454
2020-07-09,1213851,1195700,2097719,5492538
2020-07-10,1032749,926800,2059555,5407062
2020-07-11,693789,852600,1445084,3029646
2020-07-12,628918,727700,1137031,2437666
2020-07-13,1178204,1144100,2080181,5307225
2020-07-14,1243749,1211300,2163035,5552450
2020-07-15,1251164,1229000,2118965,5487561
2020-07-16,1251884,1211800,2053898,5419411
2020-07-17,1209692,1176200,2063508,5214189
2020-07-18,779722,913700,1269027,2643125
2020-07-19,585498,692800,1034029,2176572
2020-07-20,1159163,1130400,1983157,5061847
2020-07-21,1244544,1204300,2041186,5273491
2020-07-22,1236384,1189100,2202037,5594497
2020-07-23,1236427,1180200,2145818,5569490
2020-07-24,1220649,1134300,2025535,5307169
2020-07-25,817403,967300,1401884,3050011
2020-07-26,607452,721100,1126718,2439566
2020-07-27,1206129,1185000,2078947,5154397
2020-07-28,1244405,1210600,2123859,5410456
2020-07-29,1298880,1273100,2053387,5367272
2020-07-30,1272918,1224100,2147543,5463167
2020-07-31,1260968,1220700,2034500,5232232
2020-08-01,843372,969300,1404782,3012042
2020-08-02,590675,707000,1140322,2450933
2020-08-03,1275951,1268300,2045645,5144963
2020-08-04,1028686,968100,2104565,5357739
2020-08-05,1351026,1305000,1977272,5256910
2020-08-06,1337819,1241800,2104745,5438288
2020-08-07,1286635,1256300,2026290,5167208
2020-08-08,834093,962000,1374285,3022076
2020-08-09,663642,766700,1095285,2476276
2020-08-10,1278263,1243700,1974126,5032531
2020-08-11,1322978,1256400,1963125,5147774
2020-08-12,1302087,1227500,2012295,5250350
2020-08-13,1294248,1198800,2066896,5326123
2020-08-14,1358798,1321800,1972835,5014014
2020-08-15,861763,1001000,1390277,2863000
2020-08-16,554980,622000,1091228,2274508
2020-08-17,1307543,1275000,1931818,4824881
2020-08-18,1372568,1307400,2011384,5102483
2020-08-19,1294931,1212800,1988196,5078160
2020-08-20,1413449,1352700,1989264,5102703
2020-08-21,1390232,1335800,1908285,4878007
2020-08-22,883393,998700,1368082,2905898
2020-08-23,672193,783200,1103098,2334003
2020-08-24,1310101,1270700,1925303,4870263
2020-08-25,1349335,1273400,2053870,5209787
2020-08-26,1410651,1361400,2031940,5205354
2020-08-27,1361128,1274100,2088688,5275689
2020-08-28,1391299,1333400,1990149,4916250
2020-08-29,774465,892800,1332537,2911522
2020-08-30,748886,822300,1081973,2496286
2020-08-31,1400448,987400,2146521,5304727
2020-09-01,1472491,996600,2120425,5315851
2020-09-02,1491161,994000,2160869,5502439
2020-09-03,1532512,1030700,2290444,5761323
2020-09-04,1571533,1034500,2155208,5632734
2020-09-05,1013746,740100,1423269,3218241
2020-09-06,819600,580400,1095094,2514110
2020-09-07,872174,650300,942463,2230624
2020-09-08,1559312,1032900,2402093,5906484
2020-09-09,1613662,1081700,2458409,5954472
2020-09-10,1547065,989000,2412195,5950250
2020-09-11,1693776,1072600,2331739,5881166
2020-09-12,1083727,759700,1381272,3132158
2020-09-13,796744,577400,1110384,2561877
2020-09-14,1607896,1044500,2373863,5681611
2020-09-15,1681774,1087600,2416888,5963737
2020-09-16,1690405,1075300,2443863,5994343
2020-09-17,1695985,1060400,2410000,6035533
2020-09-18,1728810,1074200,2335217,5982041
2020-09-19,1137948,761600,1436981,3327333
2020-09-20,828365,585500,1125961,2613138
2020-09-21,1627636,1021200,2320909,5751363
2020-09-22,1702325,1061900,2359777,6015282
2020-09-23,1739043,1093600,2430222,6059383
2020-09-24,1726180,1070500,2378888,6056771
2020-09-25,1765299,1077600,2292765,5884330
2020-09-26,1120175,756300,1400555,3209670
2020-09-27,846184,586900,1086851,2541093
2020-09-28,1492611,955300,1910600,4768725
2020-09-29,1664896,1023100,2046200,5186591
2020-09-30,1744524,1077000,2393333,5954006
2020-10-01,1813961,1150563,2301126,6026448
2020-10-02,1794201,1109459,2311372,6000672
2020-10-03,1168073,773305,1406009,3337351
2020-10-04,853591,566754,1069347,2517967
2020-10-05,1682379,1092193,2323814,5722377
2020-10-06,1762320,1133242,2312738,5721818
2020-10-07,1774408,1124542,1843511,4888176
2020-10-08,1801918,1128062,2350129,6046704
2020-10-09,1811779,1114870,2275244,5863362
2020-10-10,1171657,770914,1376632,3263668
2020-10-11,849518,564047,1084705,2663065
2020-10-12,1286892,770512,1639387,4261231
2020-10-13,1718853,1067179,2371508,5886482
2020-10-14,1842638,1161893,2192250,5849644
2020-10-15,1857822,1154164,2308328,6091219
2020-10-16,1674686,986167,2293411,6002458
2020-10-17,1211061,780003,1392862,3364058
2020-10-18,897886,585376,975626,2433295
2020-10-19,1722723,1104657,2301368,5666851
2020-10-20,1784090,1127896,2255792,5811368
2020-10-21,1816797,1147374,2390362,6055990
2020-10-22,1829135,1146065,2387635,6117508
2020-10-23,1846268,1128035,2302112,5917525
2020-10-24,1185612,780710,1394125,3339752
2020-10-25,885001,576930,874136,2201495
2020-10-26,1694080,1058119,2300258,5762176
2020-10-27,1818884,1138746,2323971,5983171
2020-10-28,1823028,1109591,2360831,6016594
2020-10-29,1708611,974120,2164711,5772334
2020-10-30,1771288,1004498,2282950,5963932
2020-10-31,1174079,724128,1392553,3354511
2020-11-01,786678,510667,982051,2881604
2020-11-02,1751443,1064298,2313691,5818747
2020-11-03,1606096,1017551,2119897,5538262
2020-11-04,1693937,1083036,2354426,6028245
2020-11-05,1797589,1125820,2345458,6032177
2020-11-06,1840860,1114000,2184313,5862611
2020-11-07,1246356,749502,1314915,3237288
2020-11-08,928516,584868,1044407,2516303
2020-11-09,1756175,1099362,2198724,5815149
2020-11-10,1840750,1146091,2204021,5825158
2020-11-11,1617862,968853,1828024,4800777
2020-11-12,1780212,1058761,2301654,5934040
2020-11-13,1820025,1061880,2212250,5871048
2020-11-14,1215491,755714,1325814,3232688
2020-11-15,821555,524515,1008682,2437848
2020-11-16,1745282,1051458,2190537,5611839
2020-11-17,1792431,1094353,2328410,5896154
2020-11-18,1791183,1072627,2331797,5931069
2020-11-19,1761064,1058467,2352148,6010457
2020-11-20,1803896,1073125,2190051,5800308
2020-11-21,1157976,750818,1365123,3190016
2020-11-22,818055,543514,937093,2253595
2020-11-23,1649748,1002977,2279493,5728291
2020-11-24,1739107,1064087,2313232,5835929
2020-11-25,1691393,1032400,2150833,5285603
2020-11-26,653123,443386,821085,2120529
2020-11-27,1265519,812187,1424889,3486278
2020-11-28,1034026,684961,1223144,2787132
2020-11-29,827800,545820,814656,2033906
2020-11-30,1462166,819615,1951464,5278577
2020-12-01,1709780,1051162,2236514,5835426
2020-12-02,1703245,1018368,2314472,5976298
2020-12-03,1739370,1056963,2297745,6060522
2020-12-04,1704749,1012813,2201767,5960660
2020-12-05,1001236,619734,1318582,3525478
2020-12-06,879278,545433,1029118,2672577
2020-12-07,1659836,1018044,2077640,5626562
2020-12-08,1544078,1029646,2238360,5938761
2020-12-09,1705159,1017090,2211065,5941320
2020-12-10,1764682,1066582,2222045,6085110
2020-12-11,1789568,1053575,2107150,5925721
2020-12-12,1091372,704357,1280649,3453708
2020-12-13,911519,579526,1053683,2813330
2020-12-14,1587068,950309,2159793,5729487
2020-12-15,1786741,1076717,2031541,5690257
2020-12-16,1571978,854246,2190374,5931992
2020-12-17,1081431,525801,2022311,5752292
2020-12-18,1738727,938457,2085460,5663605
2020-12-19,1112852,669751,1263681,3179577
2020-12-20,822001,516601,1033202,2668834
2020-12-21,1719279,1011638,1839341,4749389
2020-12-22,1764202,1031789,1842480,4742478
2020-12-23,1775738,1033609,1845730,4747962
2020-12-24,1314656,813353,1534628,3651822
2020-12-25,485839,312707,665334,1741358
2020-12-26,880184,555857,1208384,3121219
2020-12-27,761251,469973,939946,2520698
2020-12-28,1513116,902506,1529671,4335575
2020-12-29,1558168,917930,1529883,4328244
2020-12-30,1585288,934689,1532277,4331387
2020-12-31,1276928,779465,1590744,3990400