Item,Category,SubCategory
Subway Overnite Cleaning,Essential Travel,Public Transit
Bus Free Fare & New Routes,Essential Travel,Public Transit
TLC/FHV for GetFood NYC,Essential Travel,Temp Auto Use
TLC/FHV Connectors,Essential Travel,Public Transit
Dollar Van Connectors,Essential Travel,Public Transit
On-St Parking Permits,Essential Travel,Temp Auto Use
Citi Bike/Revel Discounts,Essential Travel,Temp Micromobility
New Bike Infrastructure,Complete Streets,Micromobility
E Bike Legalization,Complete Streets,Micromobility
Citi Bike Expansion,Complete Streets,Micromobility
Open Streets,Complete Streets,Outdoor Realm Uses
Open Restaurants,Complete Streets,Outdoor Realm Uses
Temp Bike Lanes,Essential Travel,Temp Micromobility
Reduce On-Street Parking,Complete Streets,Car Priority Reduction